nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Bladestorm: The Hundred Years' War,X360,Action,Tecmo Koei,0.09,6-Nov-07,63.0,26.0,7.7,11.0,Omega Force
Sudoku Ball Detective,Wii,Puzzle,Playlogic Game Factory,0.03,13-Oct-09,,,tbd,,Whitebear
Family Game Night 4: The Game Show,Wii,Misc,Electronic Arts,0.12,1-Nov-11,,,tbd,,Electronic Arts
Rayman Origins,3DS,Platform,Ubisoft,0.08,6-Nov-12,71.0,8.0,6.1,41.0,UBlart Montpellier
World Championship Poker: Howard Lederer - All In,PSP,Misc,505 Games,0.14,,,,,,
WRC: FIA World Rally Championship,X360,Racing,Black Bean Games,0.11,20-Oct-10,66.0,24.0,tbd,,Milestone S.r.l
Akatsuki no Amaneka to Aoi Kyojin,PSP,Strategy,CyberFront,0.01,,,,,,
Bleach: Heat the Soul,PSP,Fighting,Sony Computer Entertainment,0.09,,,,,,
Bust-A-Move Deluxe,PSP,Puzzle,505 Games,0.14,4-Apr-06,67.0,7.0,tbd,,Taito Corporation
Mortal Kombat vs DC Universe,X360,Fighting,Midway Games,1.67,16-Nov-08,72.0,61.0,7.3,63.0,Midway
The Hidden,3DS,Adventure,Unknown,0.07,3-Nov-11,,,2.8,4.0,1st Playable Productions
Fit & Fun,Wii,Sports,Unknown,0.01,,,,,,
Hakuouki: Zuisouroku Portable,PSP,Adventure,Idea Factory,0.09,,,,,,
Puyo Puyo 7,Wii,Puzzle,Sega,0.05,,,,,,
NBA Jam,Wii,Sports,Electronic Arts,0.37,5-Oct-10,79.0,43.0,8.3,16.0,EA Canada
NCAA Football 09,PSP,Sports,Electronic Arts,0.22,15-Jul-08,,,tbd,,EA Canada
Monsters vs. Aliens,PS3,Platform,Activision,0.27,24-Mar-09,66.0,18.0,tbd,,Beenox
Shining Blade,PSP,Role-Playing,Sega,0.2,,,,,,
Hannah Montana: Rock Out the Show,PSP,Misc,Disney Interactive Studios,0.15,4-Aug-09,,,tbd,,Page 44 Studios
Call of Juarez: The Cartel,X360,Shooter,Ubisoft,0.24,19-Jul-11,47.0,62.0,5.7,95.0,Techland
Slotter Mania P: Tetsuya Shinjuku vs Ueno ,PSP,Misc,Dorart,0.01,,,,,,
Army Corps of Hell,PSV,Action,Square Enix,0.07,22-Feb-12,57.0,43.0,6.7,24.0,"Entersphere, Inc."
Memories Off: AfterRain,PSP,Adventure,5pb,0.01,,,,,,
Muv-Luv,PS3,Adventure,5pb,0.01,,,,,,
Wet,PS3,Shooter,Bethesda Softworks,0.58,15-Sep-09,70.0,61.0,6.2,41.0,Artificial Mind and Movement
Dragon Ball: Revenge of King Piccolo,Wii,Action,Namco Bandai Games,0.19,20-Oct-09,65.0,25.0,7.3,9.0,Media Vision
Street Fighter Alpha 3 MAX,PSP,Fighting,Capcom,0.31,7-Feb-06,80.0,35.0,8.7,17.0,Capcom
Final Fantasy XIII,X360,Role-Playing,Square Enix,2.04,9-Mar-10,82.0,54.0,6.2,439.0,Square Enix
Patapon 3,PSP,Platform,Sony Computer Entertainment,0.25,12-Apr-11,74.0,41.0,6.8,23.0,SCE Japan Studio
Pro Yakyuu Family Stadium,Wii,Sports,Namco Bandai Games,0.03,,,,,,
Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,Action,5pb,0.02,,,,,,
MLB Front Office Manager,X360,Sports,Take-Two Interactive,0.06,26-Jan-09,47.0,13.0,4,9.0,Blue Castle Games
Quake 4,X360,Shooter,Activision,0.34,18-Nov-05,75.0,52.0,6.7,68.0,Raven Software
Marvel Super Hero Squad: The Infinity Gauntlet,3DS,Action,THQ,0.07,11-Oct-11,54.0,4.0,tbd,,THQ
Payday 2,X360,Action,505 Games,0.38,23-Aug-13,75.0,18.0,7.2,153.0,Overkill Software
The Outfit,X360,Action,THQ,0.24,13-Mar-06,70.0,52.0,7.5,43.0,Relic
Sengoku Hime: Senran ni Mau Otometachi,PSP,Adventure,Yeti,0.01,,,,,,
Ice Age: Dawn of the Dinosaurs,Wii,Platform,Activision,0.26,30-Jun-09,75.0,12.0,tbd,,Activision
We Cheer,Wii,Simulation,505 Games,0.51,30-Sep-08,56.0,12.0,7.3,13.0,"Machatin, Inc."
Tokyo Jungle,PS3,Action,Sony Computer Entertainment,0.26,25-Sep-12,74.0,60.0,8.6,59.0,Crispy's
Up,PSP,Adventure,THQ,0.39,26-May-09,,,tbd,,Asobo Studio
Assassin's Creed: Revelations,PS3,Action,Ubisoft,4.03,15-Nov-11,80.0,39.0,7.5,451.0,Ubisoft Montreal
Cabela's Legendary Adventures,Wii,Sports,Activision,0.17,17-Sep-08,,,tbd,,FUN Labs
Dreamworks Madagascar Kartz,PS3,Racing,Activision,0.27,23-Oct-09,,,tbd,,Sidhe Interactive
Monster Hunter Frontier Online: Season 9.0,X360,Role-Playing,Capcom,0.04,,,,,,
Twin Strike: Operation Thunder,Wii,Shooter,Zoo Games,0.04,28-Oct-08,50.0,7.0,8.8,4.0,Naps Team
Karaoke Revolution Presents American Idol Encore,X360,Misc,Konami Digital Entertainment,0.11,5-Feb-08,70.0,7.0,7,6.0,Blitz Games
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PS3,Adventure,THQ,0.11,,,,,,
Phi Brain: Kizuna no Puzzle,PSP,Action,Arc System Works,0.01,,,,,,
Spider-Man: Shattered Dimensions,Wii,Action,Activision,0.23,7-Sep-10,75.0,13.0,7.6,12.0,Beenox
FIFA Soccer 13,WiiU,Action,Electronic Arts,0.14,13-Nov-12,69.0,28.0,5.7,34.0,Electronic Arts
Killzone: Shadow Fall,PS4,Action,Sony Computer Entertainment,1.34,15-Nov-13,73.0,88.0,7.2,1156.0,Guerrilla
Full Auto 2: Battlelines,PSP,Racing,Sega,0.01,20-Mar-07,53.0,19.0,7.4,5.0,Deep Fried Entertainment
MotoGP,PSP,Racing,Sony Computer Entertainment,0.03,26-Sep-06,69.0,18.0,8.2,5.0,Namco Bandai Games
Bleach: Versus Crusade,Wii,Fighting,Sega,0.06,,,,,,
Turbo: Super Stunt Squad,3DS,Sports,D3Publisher,0.01,16-Jul-13,,,4,4.0,Torus Games
